,xAxisValues (Unix timestamp),Cross border electricity trading (MW),Nuclear (MW),Hydro Run-of-River (MW),Hydro water reservoir (MW),Hydro pumped storage (MW),Wind onshore (MW),Solar (MW),Load (MW),Residual load (MW),Renewable share of generation (%),Renewable share of load (%),Day Ahead Auction (EUR/MWh)
0,2022-12-31 23:00:00,1325.4,2973.9,1812.9,290.1,77.0,52.9,0.0,7666.8,7613.9,41.4,28.1,0.03
1,2023-01-01 00:00:00,1175.1,2973.2,1812.0,248.1,130.9,51.7,0.0,7373.0,7321.3,40.5,28.6,-7.25
2,2023-01-01 01:00:00,1087.1,2976.9,1802.6,211.7,122.6,55.6,0.0,7464.3,7408.7,40.0,27.7,-3.99
3,2023-01-01 02:00:00,1880.3,2977.0,1757.6,197.0,53.1,60.8,0.0,6896.8,6836.0,39.9,29.2,-7.71
4,2023-01-01 03:00:00,2025.2,2976.6,1741.2,177.7,41.1,53.0,0.0,7146.0,7093.0,39.5,27.6,-9.71
5,2023-01-01 04:00:00,1666.8,2975.6,1688.5,194.6,45.2,48.6,0.0,7148.4,7099.8,39.0,27.0,-15.15
6,2023-01-01 05:00:00,1370.9,2974.6,1719.6,180.9,105.5,51.4,0.0,7148.9,7097.5,38.8,27.3,-14.33
7,2023-01-01 06:00:00,1932.7,2973.7,1728.8,180.4,71.3,52.6,0.0,7165.6,7113.0,39.2,27.4,-0.66
8,2023-01-01 07:00:00,1836.9,2975.7,1719.4,178.7,73.5,54.1,3.0,7154.8,7097.8,39.1,27.3,0.02
9,2023-01-01 08:00:00,1900.4,2974.2,1719.8,221.4,73.5,51.4,74.3,6961.3,6835.5,40.4,29.7,-1.23
10,2023-01-01 09:00:00,1733.6,2974.0,1727.4,183.6,58.9,46.1,216.3,6956.5,6694.1,41.7,31.2,-6.11
11,2023-01-01 10:00:00,1555.9,2970.2,1737.2,168.4,55.6,36.9,646.8,6952.9,6269.2,46.1,37.2,0.28
12,2023-01-01 11:00:00,1607.6,2965.5,1739.2,231.3,54.5,35.9,760.1,6941.5,6145.5,47.8,39.9,2.96
13,2023-01-01 12:00:00,1135.2,2964.2,1749.4,224.5,60.4,40.8,766.5,6948.9,6141.6,47.9,40.0,-0.79
